TimeStamp;RH;C
2020-10-03 22:47;60,53;17,72
2020-10-03 23:02;60,53;17,72
2020-10-03 23:17;60,53;17,72
2020-10-03 23:32;60,53;17,72
2020-10-03 23:47;60,53;17,72
2020-10-04 00:02;60,53;17,72
2020-10-04 00:17;60,53;17,72
2020-10-04 00:32;60,53;17,72
2020-10-04 00:47;60,53;17,72
2020-10-04 01:02;60,53;17,72
2020-10-04 01:17;60,53;17,72
2020-10-04 01:32;60,53;17,72
2020-10-04 01:47;60,53;17,72
2020-10-04 02:02;60,53;17,72
2020-10-04 02:17;60,53;17,72
2020-10-04 02:32;60,53;17,72
2020-10-04 02:47;60,53;17,72
2020-10-04 03:02;60,53;17,72
2020-10-04 03:17;60,53;17,72
2020-10-04 03:32;60,53;17,72
2020-10-04 03:47;60,53;17,72
2020-10-04 04:02;60,53;17,72
2020-10-04 04:17;60,53;17,72
2020-10-04 04:32;60,53;17,72
2020-10-04 04:47;60,53;17,72
2020-10-04 05:02;60,53;17,72
2020-10-04 05:17;61,04;18,02
2020-10-04 05:32;61,04;17,42
2020-10-04 05:47;61,04;17,42
2020-10-04 06:02;61,04;17,42
2020-10-04 06:17;60,53;17,42
2020-10-04 06:32;61,04;17,42
