TimeStamp;RH
2.10.2020 2:32;112,1
2.10.2020 2:47;-14
2.10.2020 3:02;-14
2.10.2020 3:17;-12,5
2.10.2020 3:32;-12
2.10.2020 3:47;-12
2.10.2020 4:02;-12
2.10.2020 4:17;-10,5
2.10.2020 4:32;-10,5
2.10.2020 4:47;-11
2.10.2020 5:02;-10,5
2.10.2020 5:17;-12
2.10.2020 5:32;-11,5
2.10.2020 5:47;-11
2.10.2020 6:02;-11,5
2.10.2020 6:17;-11
2.10.2020 6:32;-9,9
2.10.2020 6:47;-9,4
2.10.2020 7:02;-9,4
2.10.2020 7:17;-9,4
2.10.2020 7:32;-9,4
2.10.2020 7:47;-10,5
2.10.2020 8:02;-12
2.10.2020 8:17;113,1
2.10.2020 8:32;110,7
2.10.2020 8:47;106,3
2.10.2020 9:02;103,8
2.10.2020 9:17;101,4
2.10.2020 9:32;99,9
2.10.2020 9:47;95
2.10.2020 10:02;91,1
2.10.2020 10:17;90,6
2.10.2020 10:32;86,7
2.10.2020 10:47;87,2
2.10.2020 11:02;84,2
2.10.2020 11:17;83,7
2.10.2020 11:32;80,3
2.10.2020 11:47;77,3
2.10.2020 12:02;76,8
2.10.2020 12:17;77,3
2.10.2020 12:32;73,8
2.10.2020 12:47;71,9
2.10.2020 13:02;70,9
2.10.2020 13:17;69,4
2.10.2020 13:32;68,9
2.10.2020 13:47;69,9
2.10.2020 14:02;68,9
2.10.2020 14:17;65,4
2.10.2020 14:32;64,4
2.10.2020 14:47;64,9
2.10.2020 15:02;64,9
2.10.2020 15:17;64,4
2.10.2020 15:32;64,4
2.10.2020 15:47;67,4
2.10.2020 16:02;68,4
2.10.2020 16:17;69,9
2.10.2020 16:32;69,9
2.10.2020 16:47;71,9
2.10.2020 17:02;72,9
2.10.2020 17:17;76,3
2.10.2020 17:32;78,8
2.10.2020 17:47;79,8
2.10.2020 18:02;81,3
2.10.2020 18:17;80,3
2.10.2020 18:32;81,3
2.10.2020 18:47;81,7
2.10.2020 19:02;83,2
2.10.2020 19:17;84,7
2.10.2020 19:32;86,2
2.10.2020 19:47;86,7
2.10.2020 20:02;88,6
2.10.2020 20:17;88,6
2.10.2020 20:32;89,1
2.10.2020 20:47;90,6
