Time;%RH;°C
1.10.2020 4:59;110.2;9.05
1.10.2020 5:14;110.7;9.05
1.10.2020 5:29;113.1;9.31
1.10.2020 5:44;-9.4;9.05
1.10.2020 5:59;-5.9;9.31
1.10.2020 6:14;-4.9;9.05
1.10.2020 6:29;-3.8;9.05
1.10.2020 6:44;-3.3;9.58
1.10.2020 6:59;-3.3;9.58
1.10.2020 7:14;-3.8;9.31
1.10.2020 7:29;-4.9;9.05
1.10.2020 7:44;-4.9;9.05
1.10.2020 7:59;-5.4;9.31
1.10.2020 8:14;-7.9;9.05
1.10.2020 8:29;-8.9;9.31
1.10.2020 8:44;-8.9;9.31
1.10.2020 8:59;-8.9;9.31
1.10.2020 9:14;-9.9;9.05
1.10.2020 9:29;-11.0;9.31
1.10.2020 9:44;-9.4;9.31
1.10.2020 9:59;-13.5;10.11
1.10.2020 10:14;110.2;10.38
1.10.2020 10:29;108.7;10.92
1.10.2020 10:44;106.8;10.92
1.10.2020 10:59;104.8;10.65
1.10.2020 11:14;101.9;10.92
1.10.2020 11:29;98.0;11.73
1.10.2020 11:44;95.5;12.01
1.10.2020 11:59;93.6;12.01
1.10.2020 12:14;95.5;12.28
1.10.2020 12:29;91.1;12.28
1.10.2020 12:44;90.6;12.84
1.10.2020 12:59;91.1;12.84
1.10.2020 13:14;89.6;13.39
1.10.2020 13:29;90.6;13.39
1.10.2020 13:44;89.6;13.67
1.10.2020 13:59;89.1;13.67
1.10.2020 14:14;88.6;13.95
1.10.2020 14:29;88.2;13.95
1.10.2020 14:44;87.2;13.95
1.10.2020 14:59;88.2;13.95
1.10.2020 15:14;89.1;13.95
1.10.2020 15:29;89.1;13.95
1.10.2020 15:44;89.6;14.24
1.10.2020 15:59;89.1;14.52
1.10.2020 16:14;91.1;13.95
1.10.2020 16:29;93.1;13.67
1.10.2020 16:44;95.0;13.95
1.10.2020 16:59;96.0;13.67
1.10.2020 17:14;98.0;13.67
1.10.2020 17:29;96.0;13.11
1.10.2020 17:44;92.6;13.11
1.10.2020 17:59;95.0;12.84
1.10.2020 18:14;97.0;12.28
1.10.2020 18:29;98.0;12.01
1.10.2020 18:44;100.4;11.73
1.10.2020 18:59;100.4;12.01
1.10.2020 19:14;101.9;11.46
1.10.2020 19:29;103.4;11.73
1.10.2020 19:44;104.8;11.46
1.10.2020 19:59;104.8;11.19
1.10.2020 20:14;105.8;10.65
1.10.2020 20:29;106.3;10.92
1.10.2020 20:44;106.8;10.11
1.10.2020 20:59;107.3;10.38
1.10.2020 21:14;106.8;10.38
1.10.2020 21:29;105.8;9.84
1.10.2020 21:44;106.8;9.84
1.10.2020 21:59;107.3;9.31
1.10.2020 22:14;108.7;9.31
1.10.2020 22:29;110.2;9.05
1.10.2020 22:44;110.2;9.31
1.10.2020 22:59;110.2;9.31
1.10.2020 23:14;110.2;9.05
1.10.2020 23:29;110.7;9.05
1.10.2020 23:44;109.7;9.05
1.10.2020 23:59;110.7;9.05
2.10.2020 0:14;112.1;9.31
2.10.2020 0:29;111.7;9.05
2.10.2020 0:44;112.1;8.78
2.10.2020 0:59;112.1;9.05
2.10.2020 1:14;110.7;8.78
